0.42625,-0.14,8.8817841970013e-016
8.43,-0.14,0.16875
16.43375,-0.14,0.26
24.44,-0.14,0.30875
24.44,6.525,0.27125
16.43625,6.525,0.24125
8.43125,6.525,0.1775
0.42625,6.525,-0.068749999999999
0.42625,13.18875,-0.066249999999999
8.43,13.19,0.10875
16.43375,13.19,0.2275
24.44,13.19,0.2625
24.44,19.855,0.255
16.43625,19.855,0.22875
8.43125,19.855,0.14125
0.42625,19.855,0.018750000000001
0.42625,26.51875,-0.046249999999999
8.43,26.51875,0.051250000000001
16.43375,26.51875,0.175
24.44,26.51875,0.23125
24.44,33.185,0.3225
16.43625,33.185,0.16875
8.43125,33.185,0.045000000000001
0.42625,33.185,-0.043749999999999
